time,distance
1461396472.7576828,249
1461396472.8177254,249
1461396472.8777447,249
1461396472.9377728,250
1461396472.997799,251
1461396473.057829,251
1461396473.1178722,252
1461396473.177906,253
1461396473.2379339,253
1461396473.2977328,255
1461396473.3577569,255
1461396473.4180672,255
1461396473.4780638,256
1461396473.5381186,256
1461396473.5981452,257
1461396473.658158,258
1461396473.7181878,259
1461396473.7782338,259
1461396473.8382711,260
1461396473.8983488,261
1461396473.9583328,261
1461396474.0183947,262
1461396474.07841,262
1461396474.1384377,262
1461396474.198454,264
1461396474.2584944,264
1461396474.3185303,265
1461396474.3785703,265
1461396474.438604,266
1461396474.4986567,266
1461396474.5586736,266
1461396474.6187127,268
1461396474.6787598,268
1461396474.7387652,269
1461396474.798807,269
1461396474.8588355,270
1461396474.9188452,271
1461396474.978889,272
1461396475.038939,272
1461396475.0989437,272
1461396475.1589875,273
1461396475.2190104,274
1461396475.2790432,274
1461396475.3391037,275
1461396475.3991206,275
1461396475.4591503,276
