time,distance,uavangle,height
1461464156.4957182,268,-1,56
1461464156.5557861,269,0,56
1461464156.615798,270,-1,56
1461464156.675813,270,-1,56
1461464156.7358534,272,-1,56
1461464156.795874,273,-1,56
1461464156.855959,274,0,57
1461464156.9159763,274,-1,56
1461464156.9759786,276,-1,56
1461464157.0360014,277,-1,56
1461464157.0960362,278,-1,57
1461464157.1560678,280,-1,57
1461464157.216113,281,-1,56
1461464157.2761214,282,0,57
1461464157.3361716,283,-1,56
1461464157.3961914,284,0,56
1461464157.4562213,285,0,56
1461464157.5162506,286,-1,56
1461464157.5765634,287,0,56
1461464157.6365745,286,-1,56
1461464157.6965854,288,-1,56
1461464157.7566254,289,-1,56
1461464157.8167572,289,-1,56
1461464157.876738,291,-1,56
1461464157.9367235,292,-1,56
1461464157.9967637,294,-1,56
1461464158.056796,294,-1,56
1461464158.1168036,295,-1,56
1461464158.1768205,296,-1,56
1461464158.2368608,298,-1,56
1461464158.296918,298,-1,56
1461464158.3569434,300,-1,56
1461464158.4169552,301,-1,56
1461464158.4767628,303,-1,56
1461464158.5372694,300,-1,56
1461464158.597362,298,0,56
1461464158.65698,306,-1,56
1461464158.7170565,306,0,57
1461464158.777023,307,-1,57
1461464158.8370602,309,-1,56
1461464158.898264,0,0,57
1461464158.9580817,0,0,56
1461464159.018044,0,-2,56
1461464159.0772665,313,-1,56
1461464159.1376622,313,-1,56
1461464159.1977363,313,-1,56
1461464159.257432,316,-1,56
1461464159.3173583,318,-1,56
1461464159.3773775,319,0,56
1461464159.4374626,0,-1,56
1461464159.497443,0,0,56
1461464159.5574608,0,0,56
1461464159.6175025,0,0,56
1461464159.6775215,0,-1,56
1461464159.7375085,0,1,56
1461464159.7976007,0,1,56
1461464159.8575604,0,0,56
1461464159.9175527,0,0,56
1461464159.9775336,0,1,56
1461464160.0375655,0,0,56
1461464160.0975225,0,0,56
1461464160.157538,0,0,56
1461464160.217521,0,0,56
1461464160.2775939,0,0,56
1461464160.337788,0,0,56
1461464160.3975925,0,0,56
1461464160.4575617,0,0,57
1461464160.5176241,0,0,56
1461464160.5775337,0,0,56
1461464160.6375246,0,1,56
1461464160.6975982,0,1,56
1461464160.7575269,0,1,56
1461464160.8175209,0,0,56
1461464160.8775601,0,0,56
1461464160.9375243,0,1,56
1461464160.9975119,0,0,56
1461464161.0575294,0,0,56
1461464161.117521,0,0,56
1461464161.1775146,0,0,56
1461464161.237528,0,0,56
1461464161.2975318,0,0,56
1461464161.3575358,0,0,56
1461464161.4175246,0,0,56
1461464161.4775813,0,0,57
1461464161.5375352,0,0,56
1461464161.5975223,0,0,56
1461464161.6575248,0,1,56
1461464161.7176318,0,0,56
1461464161.7776463,0,0,56
1461464161.8375256,0,0,56
1461464161.8975482,0,0,56
1461464161.9575672,0,1,56
1461464162.0175726,0,0,56
1461464162.0775785,0,0,56
1461464162.1375337,0,0,56
1461464162.1975243,0,0,57
1461464162.257563,0,0,56
1461464162.3175647,0,0,56
1461464162.377666,0,0,55
1461464162.4375713,0,0,56
1461464162.497539,0,0,56
1461464162.557579,0,0,56
1461464162.617535,0,0,56
1461464162.6775188,0,0,56
1461464162.737535,0,1,56
1461464162.7975223,0,0,56
1461464162.8576715,0,0,56
1461464162.9175751,0,0,56
1461464162.9775732,0,0,56
1461464163.0375762,0,0,56
1461464163.09752,0,0,56
1461464163.157515,0,0,56
1461464163.2175014,0,0,56
1461464163.2775128,0,0,56
1461464163.3375194,0,0,56
1461464163.3975606,0,0,56
1461464163.4575987,0,0,56
1461464163.5176437,0,0,56
1461464163.5775807,0,0,56
1461464163.6375978,0,0,56
1461464163.6976383,0,0,56
1461464163.7575142,0,0,56
1461464163.8175273,0,0,56
1461464163.877554,0,1,56
1461464163.9375436,0,0,56
1461464163.9975188,0,0,56
1461464164.0579004,0,0,56
1461464164.1175363,0,0,56
1461464164.1775343,0,0,56
1461464164.2375073,0,0,56
1461464164.2975583,0,0,56
1461464164.3575294,0,0,56
1461464164.4180226,314,1,56
